Cover - USD ($) $ in Billions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Feb. 28, 2024","Jul. 28, 2023"
Cover [Abstract], , , 
Document Type,10-K, , 
Document Annual Report,true, , 
Document Period End Date,"Jan. 28,  2024", , 
Current Fiscal Year End Date,--01-28, , 
Document Transition Report,false, , 
Entity File Number,1-8207, , 
Entity Registrant Name,"HOME DEPOT, INC.", , 
"Entity Incorporation, State or Country Code",DE, , 
Entity Tax Identification Number,95-3261426, , 
"Entity Address, Address Line One",2455 Paces Ferry Road, , 
"Entity Address, City or Town","Atlanta,", , 
"Entity Address, State or Province",GA, , 
"Entity Address, Postal Zip Code",30339, , 
City Area Code,770, , 
Local Phone Number,433-8211, , 
Title of 12(b) Security,"Common Stock, $0.05 Par Value Per Share", , 
Trading Symbol,HD, , 
Security Exchange Name,NYSE, , 
Entity Well-known Seasoned Issuer,Yes, , 
Entity Voluntary Filers,No, , 
Entity Current Reporting Status,Yes, , 
Entity Interactive Data Current,Yes, , 
Entity Filer Category,Large Accelerated Filer, , 
Entity Small Business,false, , 
Entity Emerging Growth Company,false, , 
ICFR Auditor Attestation Flag,true, , 
Document Financial Statement Error Correction,false, , 
Entity Shell Company,false, , 
Entity Public Float, , ,331.5
"Entity Common Stock, Shares Outstanding", ,991015773, 
Documents Incorporated by Reference,Portions of the registrant’s proxy statement for the 2024 Annual Meeting of Shareholders are incorporated by reference in Part III of this Form 10-K to the extent described herein., , 
Amendment Flag,false, , 
Document Fiscal Year Focus,2023, , 
Document Fiscal Period Focus,FY, , 
Entity Central Index Key,0000354950, , 
