DEBT AND DERIVATIVE INSTRUMENTS - Short-Term Debt (Details) - USD ($) $ in Billions,1 Months Ended,12 Months Ended,Unnamed: 3
,"Jul. 31, 2023","Jan. 28, 2024","Jan. 29, 2023"
Short-term Line of Credit and Commercial Paper Programs [Abstract], , , 
Short-term debt, ,0,0
Commercial Paper, , , 
Short-term Line of Credit and Commercial Paper Programs [Abstract], , , 
Maximum borrowing capacity of credit facility, ,5, 
Revolving Credit Facility, , , 
Short-term Line of Credit and Commercial Paper Programs [Abstract], , , 
Maximum borrowing capacity of credit facility, ,5, 
Revolving Credit Facility | 5-year Back-up Credit Facility, , , 
Short-term Line of Credit and Commercial Paper Programs [Abstract], , , 
Maximum borrowing capacity of credit facility, ,3.5, 
Expiration period, ,5 years, 
Revolving Credit Facility | 364-day Back-up Credit Facility, , , 
Short-term Line of Credit and Commercial Paper Programs [Abstract], , , 
Maximum borrowing capacity of credit facility,1.5,1.5, 
Expiration period,364 days,364 days, 
