FAIR VALUE MEASUREMENTS - Summary of Assets and Liabilities Measured at Fair Value on a Recurring Basis (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2
,"Jan. 28, 2024","Jan. 29, 2023"
"Fair Value, Assets and Liabilities Measured on Recurring Basis[Line Items]", , 
Derivate asset statement of financial position extensible enumeration not disclosed flag,Derivative agreements – assets, 
Derivate liability statement of financial position extensible enumeration not disclosed flag,Derivative agreements – liabilities, 
Fair value measurements recurring | Fair Value (Level 2), , 
"Fair Value, Assets and Liabilities Measured on Recurring Basis[Line Items]", , 
Derivative agreements – assets,0,0
Derivative agreements – liabilities,-859,-778
Total,-859,-778
