INCOME TAXES - Effective Income Tax Rate Reconciliation (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
"Effective Income Tax Rate Reconciliation, Percent [Abstract]", , , 
"Combined federal, state, and foreign effective tax rates",0.24,0.239,0.244
Federal statutory rate,0.21, , 
Reconciliation of the Provision for Income Taxes:, , , 
Income taxes at federal statutory rate,4184,4720,4565
"State income taxes, net of federal income tax benefit",706,743,766
"Other, net",-109,-91,-27
Total,4781,5372,5304
