INCOME TAXES - Unrecognized Tax Benefits (Details) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Reconciliation of gross unrecognized tax benefits:, , , 
Unrecognized tax benefits balance at beginning of fiscal year,643,570,540
Additions based on tax positions related to the current year,74,75,80
Additions for tax positions of prior years,13,22,24
Reductions for tax positions of prior years,-14,-7,-40
Reductions due to settlements,0,-1,-29
Reductions due to lapse of statute of limitations,-27,-16,-5
Unrecognized tax benefits balance at end of fiscal year,689,643,570
