"STOCK-BASED COMPENSATION - Stock Options (Details) - Stock Options - USD ($) $ / shares in Units, shares in Thousands, $ in Millions",12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
Number of Shares, , , 
"Number of shares, beginning balance (in shares)",3626, , 
Granted (in shares),235, , 
Exercised (in shares),-743, , 
Forfeited (in shares),-33, , 
"Number of shares, ending balance (in shares)",3085,3626, 
Weighted Average Exercise Price, , , 
"Weighted average exercise price, beginning balance (in dollars per share)",167.66, , 
"Weighted average exercise price, granted (in dollars per share)",283.85, , 
"Weighted average exercise price, exercised (in dollars per share)",106.96, , 
"Weighted average exercise price, forfeited (in dollars per share)",275.93, , 
"Weighted average exercise price, ending balance (in dollars per share)",189.97,167.66, 
Intrinsic value of option exercises in period,152,61,237
Stock options exercisable (in shares),2102, , 
Intrinsic value of options outstanding,510, , 
Intrinsic value of options exercisable,424, , 
Weighted average remaining life of stock options outstanding,4 years 7 months 6 days, , 
Weighted average remaining life of stock options exercisable,3 years 2 months 12 days, , 
Weighted average exercise price of options exercisable (in dollars per share),153.57, , 
